FUNCAO,M,N,SEED,REPETICAO,COLISOES,T_INS_MED,T_BUS_PRES_MED,NOS_BUS_PRES_MED,T_BUS_AUS_MED,NOS_BUS_AUS_MED,CHECKSUM
DOBRAMENTO,10007,10000,190897,3,7835,67.421500,158.607200,3.767400,229.925200,5.638400,15457631
DOBRAMENTO,10007,10000,191897,4,7856,60.551500,162.074800,3.812400,228.654800,5.611800,15480725
DOBRAMENTO,10007,10000,192897,5,7856,59.741700,202.220200,3.844800,211.418800,5.755200,15450762
DOBRAMENTO,10007,100000,278897,1,97345,73.272590,864.011980,29.392820,369.560620,56.722320,154740414
DOBRAMENTO,10007,100000,279897,2,97325,56.910020,1298.472360,29.501520,787.305180,56.910260,155007586
DOBRAMENTO,10007,100000,280897,3,97344,102.259540,959.543060,29.370700,352.698460,56.770060,155034577
DOBRAMENTO,10007,100000,281897,4,97339,77.579240,1274.212940,29.461060,398.905940,56.767200,154942878
DOBRAMENTO,10007,100000,282897,5,97348,74.832770,888.527260,29.497500,328.298840,56.882800,154705271
DOBRAMENTO,100003,1000,269893,1,236,137.671000,201.902000,1.244000,133.206000,0.550000,1533469
DOBRAMENTO,100003,1000,270893,2,230,146.320000,132.364000,1.302000,89.942000,0.560000,1571593
DOBRAMENTO,100003,1000,271893,3,223,93.586000,127.330000,1.262000,76.796000,0.554000,1587156
DOBRAMENTO,100003,1000,272893,4,221,93.228000,66.436000,1.290000,72.630000,0.584000,1549540
DOBRAMENTO,100003,1000,273893,5,226,118.090000,79.052000,1.276000,91.300000,0.604000,1541358
DOBRAMENTO,100003,10000,278893,1,7835,61.558900,150.099600,3.776400,196.925200,5.624000,15457225
DOBRAMENTO,100003,10000,279893,2,7856,60.393200,155.705400,3.828600,240.496000,5.584200,15520570
DOBRAMENTO,100003,10000,280893,3,7856,66.563000,193.367000,3.787000,228.719800,5.697800,15512336
DOBRAMENTO,100003,10000,281893,4,7802,59.258100,150.774200,3.816600,237.753200,5.544200,15568567
DOBRAMENTO,100003,10000,282893,5,7865,78.233900,166.057000,3.812400,194.369200,5.783200,15490725
DOBRAMENTO,100003,100000,368893,1,97335,70.007610,1446.495500,29.486920,374.583120,56.878040,154966814
DOBRAMENTO,100003,100000,369893,2,97333,83.804050,2038.012800,29.435220,920.061760,56.822060,154724813
DOBRAMENTO,100003,100000,370893,3,97331,332.681200,373.114400,29.449260,569.531120,57.083700,154865957
DOBRAMENTO,100003,100000,371893,4,97333,192.345640,600.515880,29.321800,618.538320,56.560960,154874654
DOBRAMENTO,100003,100000,372893,5,97329,257.275250,652.829360,29.479900,534.500620,56.792900,154941712
